textid	text	target	condition
1	I don't wanna call and talk too long I know it was wrong, but never said I was sorry Now I've had time to think it over We're much older and the bone's too big to bury Oh, isn't it a shame that it ended like that? Said goodbye forever, but you never unpacked We went to Hell, but we never came back I'm sorry that you're jaded I could've taken you places You're lonely now and I hate it I'm sorry that you're jaded You're not even willin' to look at your part You just jump in the car and head down to thе bar 'til you're blurry Don't know when to stop, so you take it too far I don't know whеre you are and I'm left in the dark 'til I'm worried Ooh, and it hurts me And it's a fuckin' shame that it ended like that You broke your own heart, but you'd never say that We went to Hell, but we never came back   I'm sorry that you're jaded (Jaded) I could've taken you places (Places) You're lonely now and I hate it I'm sorry that you're jaded I won't lie, it won't be easy When somebody new is on your body I'll change my number but keep your T-shirt I don't mind it's torn up and faded I'm sorry that you're jaded (Jaded) I could've taken you places (Places) You're lonely now and I hate it I'm sorry that you're jaded I'm sorry that you're jaded	0	1
2	Sunrise got us up early So we put on our shade Somehow the bed sheets are dirty Like sticky sweet lemonade Never wanna leave this room Daydream, déjà vu If I had control over you We could stay like this forever, lost in wonderland With our head above the clouds, falling stupid like we're kids Wearing rose-colored lenses, let's just play pretend Wearing rose-colored lenses, pretend we'll never end Naked in conversation Drown me in your delight Endless summer vacation Make it last 'til we die My baby got looks that kill (Kill) Make a mess of a nice hotel ('Tel) If I had control over you   We could stay like this forever, lost in wonderland With our head above the clouds, falling stupid like we're kids Wearing rose-colored lenses, let's just play pretend Wearing rose-colored lenses, pretend we'll never end Let's stay like this forever Let's stay like this forever Let's stay like this forever Let's stay like this forever We could stay like this forever, lost in wonderland With our head above the clouds, falling stupid like we're kids Wearing rose-colored lenses, let's just play pretend Wearing rose-colored lenses, pretend we'll never end Let's stay like this forever (Let's just keep pretendin') Let's stay like this forever Let's stay like this forever (Let's just keep pretendin') Let's stay like this forever Let's stay like this forever Let's stay like this forever Let's stay like this forever, uh-uh Let's stay like this forever Let's stay like this forever Let's stay like this forever	0	1
3	Amazing, I'm driving 'round town in a beat-up old Mercedes You think I'm crazy, you might be right But when he smiles, I don't care about the past Just like that I told myself I closed that door But I'm right back here again I know half of what I'm saying don't make no sense So don't ask me where I been I'm not always right, but still, I ain't got time for what went wrong Where I end up, I don't really care I'm out of my mind, but still, I'm holding on like a rolling stone A thousand miles from anywhere I look in the rearview, I was talking to you 'fore I realize it's madness Before the sadness Oh, I pick up the phone and I call back home, but all I get is a dial tone And instead of hangin' up, I hang my head I told myself I closed that door But I'm right back here again I know half of what I'm saying don't make no sense So don't ask me where I been   I'm not always right, but still, I ain't got time for what went wrong Where I end up, I don't really care I'm out of my mind, but still, I'm holding on like a rolling stone A thousand miles from anywhere  I told myself I closed that door But I'm right back here again I know half of what I'm saying don't make no sense So don't ask me where I been I'm not always right, but still, I ain't got time for what went wrong Where I end up, I don't really care I'm out of my mind, but still, I'm holding on like a rolling stone A thousand miles from anywhere	0	1
4	Ooh-ooh-ooh Yeah, huh-huh Ooh-ooh-ooh-ooh I feel a surge coming over me I feel it all around my thighs And chills going up my legs This is the worst coming out of me When I came, felt like I could die And it sends chills up my spine You're sexy, sexy I got things I wanna do to you Make me, make me Make my tongue just go do-do-do Flex it, flex it Flex your muscles, and go through the roof Arrest it, -rest it, 'cause this shit is criminal I been laying in this bed all night long Don't you think it's time to get it on? But we gotta get it right, we can't get it wrong Don't you wanna fuel this fire before it's gone? Yeah, yeah   I feel the thirst pouring out of me The things that I wanna try That echoes in my head This is the first time I get to see Things I've never seen in my life, yeah You make flowers grow under my bed, yeah You're sexy, sexy I got things I wanna do to you Make me, make me Make my tongue just go do-do-do Flex it, flex it Flex your muscles, and go through the roof Arrest it, -rest it, 'cause this shit is criminal I been laying in this bed (This bed) All night long (All night long) Don't you think it's time? (It's time) To get it on (Yeah) But we gotta get it right (Get it right) We can't get it wrong (Can't get it wrong) Don't you wanna fuel this fire before it's gone? Yeah, yeah Do you feel me? Oh I thought so I just uh Sometimes you just wanna Be naughty I feel so alone when you are gone Feeling right back home when I'm in your arms You played my strings, like my guitar When I look in your eyes, I see all the stars Would you believe I'm dancing in the mirror? (Dancing in the mirror) I feel like I got no panties on I wish that I could feel ya (Wish that I could feel ya) So hurry, hang up that damn phone I been laying in this bed (This bed) All night long (All night long) Don't you think it's time? It's time to get it on But we gotta get it right, we can't get it wrong Don't you wanna fuel this fire before it's gone? Yeah, yeah Going on and on and make it last forever What you want all day? Just as long as it's you and I together Babe, don't make me wait, yeah Ooh, oh Don't make me wait, yeah, yeah, yeah, uh Don't make me wait	0	1
5	Mike WiLL Made-It Drive my heart into the night You could drop the keys off in the morning (In the morning) 'Cause I don't wanna leave home Without your love, without it You told me that you wanted this I told you it was all yours If you're done with it, then what'd you say forever for? If forever's out the door I'll ignore when you call Drive my heart into the night, yeah You could drop the keys off in the morning (In the morning) 'Cause I don't wanna leave home Without your love, without it Ooh, ooh Ooh, ooh   You told me you were coming back, right back You promised it was real, and I believed that But if I fall for it again, I will be a fool If our love is at the end, then why do I still want you? Yeah But I guess I got no valentine Send me roses, I'll just let 'em die I was crazy thinkin' you were mine It was all just a lie Drive my heart into the night You could drop the keys off in the morning 'Cause I don't wanna leave home (Leave home) Without your love, without it I always knew I never wanted this I never thought it could happen (Never thought it could happen) You acted like you wanted this But then you led me on (Led me on) I thought you would be there when I go (I go) You promised you would be there when I go (I go) But all the broken promises, I won't miss, I'm finished All I know are the facts That when I look you in the eyes, all I see are the lies Been there, done that Drive my heart into the night (Night, yeah, yeah) You could drop the keys off in the morning (In the morning) 'Cause I don't wanna leave home (Home) Without your love, without it, yeah, yeah, uh	0	1
6	Oh, you broke my heart I told you I was weak for love But then you went around And did what you wanted to do And now I'm cryin', cryin' Ooh, it seemed like everything was going fine I found the love that I thought was gonna last Then I accidentally saw a few things in your cell I even LOL'd Man, I should've known Why? Why you're doing what you do? You, you might as well just tell the honest truth See, I'm not really down with this This ain't no texting shit No, I got no biz, but it is what it is I don't really have much to say I was over it the second that I saw her name I got two, ooh, ooh, letters for you One of them's "F" and the other one's "U" 'Cause what you gotta do is go get yourself a clue Only two, ooh, ooh, letters to choose One of them's "F" and the other one's "U" SMH (Uh) I'm pressing "send" on you   Could've been this, could've been that We done been there, we done been back You ain't with it, could've said that Why you tripping? Let me hit that I ain't trying to argue no more I do it all for you You know you're my ride or die, baby, let me show you Oh, I know what's been goin' on Don't even try to act like Mr. Super Nonchalant What makes you think I'll stick around? I'm not as stupid as you sound And you sound really dumb right now From A to Zed, ooh-ah I got a lot of nasty things floating up in my head But none of them are worth my time You're not even worth this rhyme And I don't, I don't give a flying I don't really have much to say I was over it the second that I saw her name I got two, ooh, ooh, letters for you One of them's "F" and the other one's "U" 'Cause what you gotta do is go get yourself a clue Only two, ooh, ooh, letters to choose One of them's "F" and the other one's "U" SMH I'm pressing "send" on you Ooh, ooh, two letters for you, yeah (Letters for you) What you trippin' on? (Huh) Girl, you know you wrong (Huh) Don't let these girls drive you crazy, haan I don't really have much to say I was over it the second that I saw her name I got two, ooh, ooh, letters for you One of them's "F" and the other one's "U" 'Cause what you gotta do is go get yourself a clue Only two, ooh, ooh, letters to choose One of them's "F" and the other one's "U" SMH I'm pressing "send" on you	0	1
7	Every single night and every single day I'ma do my thang, I'ma do my thang So don't you worry 'bout me, I'ma be okay I'ma do my thang, 'cause I'ma do my thang And I, I'ma-I'ma-I'ma do my thang And I, I'ma-I'ma-I'ma do my I'ma do my thang I'ma do my thang I'ma do my thang Bang bang I'ma shoot 'em down, baby Look at me I'm, I'm high up off the ground, baby Oh shit Pa-Pa-Pass that shit around, baby That shit true But, but I don't hear a sound I'm a S-Southern belle Crazier than hell Gettin' wild up in here, gettin' live up in here Burnin' up, up in here Turnt up, up in here We tear the roof up, now we up outta here   We do it, we do it We don't give a fuck Only thing we think about is turnin' up, turnin' up We do it, we do it We do it all the way live So everybody hands to the sky, 'cause Every single night and every single day I'ma do my thang, I'ma do my thang So don't you worry 'bout me, I'ma be okay 'Cause I'ma do my thang, I'ma do my thang And I, I'ma-I'ma-I'ma do my thang And I, I'ma-I'ma-I'ma do my I'ma do my thang I'ma do my thang (Ayy, ayy, ooh) I'ma do my thang (Uh) Bang, bitch You think I'm strange, bitch? I-It's bananas, like a fuckin' 'rangutan, bitch Don't worry 'bout me I got it all arranged, bitch Mind your business Stay in your lane, bitch Oh, yeah I'm a Southern belle I told ya'll once before, I get crazier than hell Get wild up in here, get live up in here Turnt up, up in here Burnin' up, up in here (Here) We do it, we do it We don't give a fuck Only thing we think about is turnin' up, turnin' up We do it, we do it We do it all the way live So everybody hands to the sky, 'cause Every single night and every single day I'ma do my thang, I'ma do my thang So don't you worry 'bout me, I'ma be okay I'ma do my thang, 'cause I'ma do my thang And I, I'ma-I'ma-I'ma do my, I'ma do my thang	0	1
8	I sleep with the door open if you want to come in while I'm sleeping I'm always sleeping naked, 'cause you wake up and you're creeping Want to lick it so much that it's almost like I taste it on the tip of my tongue I want to touch it so bad that it's almost like I can feel it on my fingertips I want yours inside of me, but don't forget where I like licking, babe I want to make your fantasies realities I want to be yours, babe I want you to bang my box I want you to bang my box There ain't nothing that I'm scared to try I can be on top, or if you like it I'll just lie here Take my picture Position my body wherever you like Just know I that like it naughty Teach me a lesson, pretend we never met But we can keep just kissing, 'cause you're getting me so wet The only downside to this morning is you getting up and you leaving When I'm dreaming and you're in 'em I wake myself up, 'cause I'm screaming Uh-huh, what are you doing to me? It's like you're a zookeeper setting animals free You release me like a tiger that's been locked in a cage Here I am, here you are I want it so hard You finger my heart And I know just what I need What I came here to do What I've been thinking, babe, been most about you   I want you to bang my box I want you to bang my box You say it tastes like cake with my lips against your face Want you to eat it, babe	0	1
9	The milky, milky The milky, milky, milky milk The milky, milky milk The milky, milky milk (Rock 'n' roll, man) The milky, milky milk The purple that is collapsing Head for the hills And prepare your intellect to flow Oh, oh, oh The game of life is changing Man is about to awake Electric sun beams dancing In a liquid in my skull The milky, milky milk Your tongue licking me so hard And from sucking on your nipples Licking milky, milky stars I feel like a slab of butter That is melting in the sun Aggression melts away (The milky, milky milk) Now that you and me are one (The milky, milky milk)   I made a 'nilla sundae And the greatest truth appear That opened up the flood tides Of the last two billion years I ask myself a question What the fuck is God? But I knew that I knew it From the milky, milky gods The milky, milky milk Your lips get me so wet While I'm singing all the verses From the Tibetan Book of Dead The milky, milky milk The milky, milky milk Yeah, I'm digging it It's kind of a molecular thing Yeah, I'm digging it It's kind of a molecular thing Yeah, I'm digging it Yeah, I'm digging it I feel like a slab of butter (Yeah, I'm digging it) That is melting in the sun (Yeah, I'm digging it) Aggression melts away (Yeah, I'm digging it) Now that you and me are one (The milky, milky milk) (Yeah, I'm digging it) Now that you and me are one (Yeah, I'm digging it) Now that you and me are one (The milky, milky milk) Yeah, I'm digging it Yeah, I'm digging it Yeah, I'm digging it Yeah Yeah	0	1
10	I'm 'bout to get fucked up, wanna get fucked up? Fucked up I'm 'bout to get fucked up, wanna get fucked up? Fucked up I'm 'bout to get fucked up, wanna get fucked up? Fucked up I'm 'bout to get fucked up, wanna get fucked up? Fucked up Mike WiLL Made-It The only laws I obey, the ones I'm makin' for myself So why you make me play on the rules of someone else? Self control is not something I'm working on We fuck, you turn me on, is all I can say about you I feel like a slab of butter that is melting in the sun Aggression melts away now that you and me are one Now that you and me are one Now that you and me are one You turn me on You turn me on You turn me on You turn me on   Nature made a hole and now it's open full of sweat Like a scorpion on fire, stinging myself to death I can’t extinguish what is instinctual You turn me on, is all I can say about you I feel like a slab of butter that is melting in the sun Aggression melts away now that you and me are one I feel like a slab of butter that is melting in the Sun Aggression melts away now that you and me are one Now that you and me are one Now that you and me are one You turn me on You turn me on You turn me on You turn me on	0	1
